FID,file_name,impd_code,site_name,site_code,Contributo,Longitude,Latitude,Reference
566, , ,Mica Mountain,02_03,Farris_CA,-110.557807,32.22358883,Farris_et_al_2010
567, , ,Mica Mountain,02_04,Farris_CA,-110.5399302,32.2245715,Farris_et_al_2010
568, , ,Mica Mountain,02_05,Farris_CA,-110.5283161,32.22322962,Farris_et_al_2010
569, , ,Mica Mountain,02_06,Farris_CA,-110.5670288,32.21699905,Farris_et_al_2010
570, , ,Mica Mountain,02_07,Farris_CA,-110.5499478,32.21700255,Farris_et_al_2010
571, , ,Mica Mountain,02_08,Farris_CA,-110.5308649,32.21669861,Farris_et_al_2010
572, , ,Mica Mountain,02_09,Farris_CA,-110.5765632,32.20907447,Farris_et_al_2010
573, , ,Mica Mountain,02_10,Farris_CA,-110.5580459,32.20929978,Farris_et_al_2010
574, , ,Mica Mountain,02_11,Farris_CA,-110.5393157,32.2075369,Farris_et_al_2010
575, , ,Mica Mountain,02_12,Farris_CA,-110.5247961,32.21034294,Farris_et_al_2010
576, , ,Mica Mountain,02_13,Farris_CA,-110.5648387,32.20002227,Farris_et_al_2010
577, , ,Mica Mountain,02_14,Farris_CA,-110.5495838,32.20170999,Farris_et_al_2010
578, , ,Mica Mountain,02_15,Farris_CA,-110.5303895,32.19976371,Farris_et_al_2010
579, , ,Mica Mountain,02_16,Farris_CA,-110.5581911,32.19243025,Farris_et_al_2010
580, , ,Mica Mountain,02_17,Farris_CA,-110.5400846,32.19389934,Farris_et_al_2010
581, , ,Mica Mountain,02_17A,Farris_CA,-110.5435554,32.19401115,Farris_et_al_2010
582, , ,Mica Mountain,02_18,Farris_CA,-110.5228056,32.19526973,Farris_et_al_2010
583, , ,Mica Mountain,02_19,Farris_CA,-110.5485017,32.18449327,Farris_et_al_2010
584, , ,Mica Mountain,02_20,Farris_CA,-110.5312211,32.18655945,Farris_et_al_2010
585, , ,Mica Mountain,02_21,Farris_CA,-110.5388931,32.17771057,Farris_et_al_2010
586, , ,Mica Mountain,02_22,Farris_CA,-110.5227776,32.17827328,Farris_et_al_2010
587, , ,Mica Mountain,02_23,Farris_CA,-110.5323422,32.17684753,Farris_et_al_2010
588, , ,Mica Mountain,02_26,Farris_CA,-110.5821331,32.20464544,Farris_et_al_2010
589, , ,Mica Mountain,02_28,Farris_CA,-110.5315595,32.2074633,Farris_et_al_2010
590, , ,Mica Mountain,02_29,Farris_CA,-110.5518598,32.22440687,Farris_et_al_2010
591, , ,Mica Mountain,02_30,Farris_CA,-110.5600848,32.21777798,Farris_et_al_2010
592, , ,Mica Mountain,02_31,Farris_CA,-110.5520535,32.2260314,Farris_et_al_2010
593, , ,Mica Mountain,02_HD5,Farris_CA,-110.5646311,32.21531284,Farris_et_al_2010
